timestampUtc,release,requestId,isValidRequest,outcome,timeBand,channel,latencyMs
2026-08-17T00:05:00Z,2.3.0,R001,true,Success,Normal,Web,350
2026-08-17T00:12:00Z,2.3.0,R002,true,Success,Normal,Mobile,400
2026-08-17T00:19:00Z,2.3.0,R003,true,Success,Normal,Web,450
2026-08-17T00:26:00Z,2.3.0,R004,true,Success,Normal,Mobile,500
2026-08-17T00:33:00Z,2.3.0,R005,true,Success,Normal,Web,550
2026-08-17T00:40:00Z,2.3.0,R006,true,Success,Normal,Mobile,600
2026-08-17T00:47:00Z,2.3.0,R007,true,Success,Normal,Web,650
2026-08-17T00:54:00Z,2.3.0,R008,true,Success,Normal,Mobile,700
2026-08-17T01:01:00Z,2.3.0,R009,true,Success,Normal,Web,750
2026-08-17T01:08:00Z,2.3.0,R010,true,Success,Normal,Mobile,800
2026-08-17T01:15:00Z,2.3.0,R011,true,Success,Peak,Web,650
2026-08-17T01:22:00Z,2.3.0,R012,true,Success,Peak,Mobile,700
2026-08-17T01:29:00Z,2.3.0,R013,true,Success,Peak,Web,800
2026-08-17T01:36:00Z,2.3.0,R014,true,Success,Peak,Mobile,900
2026-08-17T01:43:00Z,2.3.0,R015,true,Success,Peak,Web,1000
2026-08-17T01:50:00Z,2.3.0,R016,true,Success,Peak,Mobile,1100
2026-08-17T01:57:00Z,2.3.0,R017,true,Success,Peak,Web,1200
2026-08-17T02:04:00Z,2.3.0,R018,true,SystemFailure,Peak,Mobile,1300
2026-08-17T02:11:00Z,2.3.0,R019,true,Success,Peak,Web,1450
2026-08-17T02:18:00Z,2.3.0,R020,true,SystemFailure,Peak,Mobile,1800
2026-08-17T02:25:00Z,2.3.0,R021,false,RejectedInvalid,Normal,Web,40
2026-08-17T02:32:00Z,2.3.0,R022,false,RejectedInvalid,Normal,Mobile,45
2026-08-17T02:39:00Z,2.3.0,R023,false,RejectedInvalid,Peak,Web,50
2026-08-17T02:46:00Z,2.3.0,R024,false,RejectedInvalid,Peak,Mobile,60

